username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Josep M. Montaner 🎗,968715276,2018-02-19 22:56:06,"@SenatorCarter @CarterCenter In 2010, the government of the Generalitat de Catalunya awarded President Carter of th... https://t.co/XBBVBg5Ju7",0,None,622,1005,0.0,0.0
Núria pel Sí,2831636140,2018-02-19 22:55:58,RT @denterd: NYTimes: #Catalonia's politician @AnnaGaSabate leaves for Switzerland days before court date to prepare her legal defense http...,50,Catalonia,599,716,0.2,0.2
evillaperong🎗️,911542423968468993,2018-02-19 22:55:51,"RT @Anna_mnesia: And be aware: all  this is happening INSIDE of Europe!:

+ Arbitrary detention of politicians and public leaders of #Catal...",10,None,104,601,0.07083333333333333,0.3055555555555555
Francesc Ballús,315900981,2018-02-19 22:55:23,Don't forget .... Catalonia's Independence Vote Descends Into Chaos and Clashes https://t.co/0MC1CHTeKI,0,None,47,224,0.0,0.0
ariadna,355707450,2018-02-19 22:55:13,RT @rogerevansny: Operation Catalonia: Spain's assault on democracy https://t.co/oRMn7SfN6R,93,None,135,247,0.0,0.0
Hosted Villas,25114612,2018-02-19 22:55:09,Escape the beaches and crowds of the Costa Brava and explore the unspoiled charm of #Catalonia's beautiful countrys... https://t.co/pT1xuhoUG4,0,Catalonia,1295,1094,0.85,1.0
Isabel Jubert,260443861,2018-02-19 22:54:37,RT @Foreign_Cat: How can you be so fooled? How can you believe it?  I've been living in #Catalonia for three years and I haven't found anyo...,16,Catalonia,215,632,0.0,0.0
Far away 🎗️,205204792,2018-02-19 22:54:34,RT @erikwill: More American voices are needed to speak up about what is happening in Catalonia. It is being covered in our press. More comm...,512,None,90,183,0.3333333333333333,0.3333333333333333
Aalfaaleph,923531051259121664,2018-02-19 22:54:20,"RT @hartigan_connor: ""Far-right demonstrations always end in violence in Spain...There is no point in pretending they don't...far-right dem...",37,None,661,993,0.0,0.0
Ana Frodo,1469968298,2018-02-19 22:54:15,"RT @catala_elna: A very good account of what is really happening in #Catalonia. What the Spanish media won't publish.
@spdde #SPD @Die_Grue...",1,Catalonia,172,363,0.36999999999999994,0.3266666666666667
Francesc Cruz Cueva,243269233,2018-02-19 22:54:07,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,176,283,0.0,0.2
JohnDoeWinter,918969835219976192,2018-02-19 22:54:06,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,150,219,0.0,0.2
Luna||*||,791812590942973952,2018-02-19 22:53:56,"RT @lizcastro: Spain's democracy and EU credibility are at stake in Catalonia, says Swedish newspaper
https://t.co/MCjyqRPkoq",356,None,338,551,0.0,0.0
News about Catalonia,953815659909181441,2018-02-19 22:53:50,"RT @Ross8992: ""The Speaker of the Catalan Parliament, Roger Torrent, has refused to meet with the Spanish government's representative in Ca...",26,None,3963,6,0.0,0.0
ross elsewhere,2749924740,2018-02-19 22:53:15,RT @KarnaMikko: Congratulations #Estonia for 100 years of independence next saturday! After your declaration you were independent for one d...,472,Estonia,346,146,0.0,0.0625
I9Nasi Prat 🎗,266010794,2018-02-19 22:53:08,"RT @KarnaMikko: Only ""cowards"" and ""scoundrels"" in the case of #Catalonia sit in Madrid.  They are scared of democracy and willing to use f...",536,Catalonia,278,577,0.125,0.875
SílviaMdezCahue,280140827,2018-02-19 22:52:42,RT @SiemonKlaus: Dear NYTimes! Please take notice. Violation of a Constitution is not a crime. A crime needs to violate a penal code. Spani...,496,None,465,2019,0.0,0.0
Angelina Llongueras,512665373,2018-02-19 22:52:41,"RT @KarnaMikko: Only ""cowards"" and ""scoundrels"" in the case of #Catalonia sit in Madrid.  They are scared of democracy and willing to use f...",536,Catalonia,559,1166,0.125,0.875
Activist Int'l,1000798291,2018-02-19 22:52:34,Good move sounds familiar to Spain's #Catalonia https://t.co/NYO0S6E2lO,0,Catalonia,1921,3881,0.5375,0.55
Maria Morlans,870594326417600513,2018-02-19 22:52:11,"RT @KarnaMikko: Only ""cowards"" and ""scoundrels"" in the case of #Catalonia sit in Madrid.  They are scared of democracy and willing to use f...",536,Catalonia,46,41,0.125,0.875
Julieta,235728746,2018-02-19 22:52:10,"RT @HedwigJanes: Important to know: Catalonia's Book Industry Is Small But Vibrant https://t.co/rHui03mBQn via @publisherswkly
 @Foreign_Cat",28,None,226,498,0.10555555555555556,0.5777777777777777
Aleix🎗️,2868575266,2018-02-19 22:51:16,"RT @KarnaMikko: How is it possible to charge #Catalonia's politicians for rebellion? Rebellion is a violent uprising, but #1oct referendum...",1646,Catalonia,134,537,-0.4,1.0
Ana Frodo,1469968298,2018-02-19 22:50:20,RT @nuriacoe: #Catalonia outrageous violations GG Catalan rights must not be left uncontradicted. Germany has historical responsibility for...,4,Catalonia,172,363,-0.3333333333333333,0.3333333333333333
FREE CATALONIA,449654830,2018-02-19 22:50:13,RT @SiemonKlaus: Dear NYTimes! Please take notice. Violation of a Constitution is not a crime. A crime needs to violate a penal code. Spani...,496,None,262,237,0.0,0.0
Evanova🎗,118164283,2018-02-19 22:49:51,"RT @hartigan_connor: ""Far-right demonstrations always end in violence in Spain...There is no point in pretending they don't...far-right dem...",37,None,427,924,0.0,0.0
Bender,3347581667,2018-02-19 22:49:45,"RT @SMarwickYes: ""If my mother tongue is shaking the foundations of your state, it probably means that you built your state on my land."" -...",391,None,117,182,0.0,0.0
Jim Hagart,304927409,2018-02-19 22:49:43,"RT @lizcastro: Spain's democracy and EU credibility are at stake in Catalonia, says Swedish newspaper
https://t.co/MCjyqRPkoq",356,None,120,61,0.0,0.0
Едуард Гуиу 🎗,720275259652329473,2018-02-19 22:49:36,RT @denterd: NYTimes: #Catalonia's politician @AnnaGaSabate leaves for Switzerland days before court date to prepare her legal defense http...,50,Catalonia,98,504,0.2,0.2
Jotabe,2901332758,2018-02-19 22:49:23,"RT @KarnaMikko: Only ""cowards"" and ""scoundrels"" in the case of #Catalonia sit in Madrid.  They are scared of democracy and willing to use f...",536,Catalonia,309,853,0.125,0.875
🎗🎗🎗Jo què sé ja 🤔🤔🤔,931018591,2018-02-19 22:49:17,RT @denterd: NYTimes: #Catalonia's politician @AnnaGaSabate leaves for Switzerland days before court date to prepare her legal defense http...,50,Catalonia,452,968,0.2,0.2
Marta Sala,421089667,2018-02-19 22:49:12,"@glenn_hughes I can't my dear  I'm from Barcelona (Catalonia, Spain) 
Hopefully!! Please if you can, share a vid... https://t.co/Uvz62qgiut",0,None,478,700,0.0,0.0
Rosa Garcia 🎗🎗🎗🎗,920379065617600512,2018-02-19 22:49:08,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,652,1629,0.0,0.2
Angie Stone Wall,3514882757,2018-02-19 22:48:51,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,109,205,0.0,0.2
Gareth Charles,364768317,2018-02-19 22:48:18,"RT @alunsaunders: Remember when we stood by and allowed the Spanish government to eradicate Catalan identity?

Well they're f***ing doing i...",38,None,5303,183,0.0,0.0
Mercator Network,23133615,2018-02-19 22:48:16,RT @EUROLANG: February 21st is #InternationalMotherLanguageDay and this year celebrates linguistic diversity and multilingualism as keyston...,24,InternationalMotherLanguageDay,1385,2363,0.05,0.05
elisa america,955988314225393664,2018-02-19 22:48:16,"RT @amnestydk: ""The ongoing pre-trial detention of Jordi Sanchez is an excessive and disproportionate restriction on his right to freedom o...",693,None,324,293,0.01785714285714285,0.7678571428571428
Sr. Lobo,191951756,2018-02-19 22:48:12,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,493,244,0.0,0.2
Alexandre Sire 🎗,182713137,2018-02-19 22:47:52,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,229,291,0.0,0.2
Altimarta,927268595377287168,2018-02-19 22:47:44,"RT @KarnaMikko: Only ""cowards"" and ""scoundrels"" in the case of #Catalonia sit in Madrid.  They are scared of democracy and willing to use f...",536,Catalonia,128,826,0.125,0.875
Albert,1149791846,2018-02-19 22:47:39,"RT @XBescos: Jord Cuixart: ""I'm in prison for defending Catalonia's rights. Spain must free us immediately""
Jailed political leaders are ca...",2591,None,2437,3561,0.2,0.45
Rosa Garcia 🎗🎗🎗🎗,920379065617600512,2018-02-19 22:47:22,"RT @hartigan_connor: ""Far-right demonstrations always end in violence in Spain...There is no point in pretending they don't...far-right dem...",37,None,652,1629,0.0,0.0
CeltiCRa6⭐️-IAR🍀,631167630,2018-02-19 22:46:44,"RT @KarnaMikko: Only ""cowards"" and ""scoundrels"" in the case of #Catalonia sit in Madrid.  They are scared of democracy and willing to use f...",536,Catalonia,5713,5083,0.125,0.875
Pasparís ツ,13750312,2018-02-19 22:46:34,"RT @valenciadesoca: Castello is no Castilian town, but was funded by James/Jaume I (a Catalan King by fathers' line, who issued Castello Ch...",5,None,800,758,0.0,0.0
Javi Melenchón 🎗️,326703005,2018-02-19 22:46:28,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,47,50,0.0,0.2
La Palo,747510427190444032,2018-02-19 22:46:27,"RT @PepRoig3: 'There are occasions when it pays better to fight and be beaten than not to fight at all'.
George Orwell, Homage to Catalonia...",2,None,138,196,0.5,0.5
News about Catalonia,953815659909181441,2018-02-19 22:46:26,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,3963,6,0.0,0.2
Maia Val,4636485220,2018-02-19 22:46:24,RT @CollectiuEmma: Operation #Catalonia: Spain's assault on democracy https://t.co/PvEX5cydQb,31,Catalonia,130,59,0.0,0.0
GuardiesUrbans ||*||,2355001096,2018-02-19 22:46:07,"RT @hartigan_connor: ""Far-right demonstrations always end in violence in Spain...There is no point in pretending they don't...far-right dem...",37,None,7150,1103,0.0,0.0
Antoni I. Alomar,3304952338,2018-02-19 22:45:45,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,88,174,0.0,0.2
Eudald Ylla Martí 🎗,908325670094286848,2018-02-19 22:45:38,@hartigan_connor Nice sight ! Last week almost half Catalonia was under snow. Here you have an awesome white pictur... https://t.co/wQVVALYYCY,0,None,39,232,0.3166666666666667,0.44666666666666666
Montserrat 🎗,912019416073764864,2018-02-19 22:45:35,RT @denterd: NYTimes: #Catalonia's politician @AnnaGaSabate leaves for Switzerland days before court date to prepare her legal defense http...,50,Catalonia,143,187,0.2,0.2
E pluribus unum #Tabarnia🇪🇸🇺🇸🇮🇱🇷🇸,911266702654083074,2018-02-19 22:45:19,"RT @GarciaCarmonaAM: Barcelona, March 4: Civic protest in defence of Tabarnia, against Catalan nationalist threat.

Seriously, Tabarnia has...",2,None,416,507,-0.3333333333333333,0.6666666666666666
Maureen alcorn#FBPE,744480047789146112,2018-02-19 22:45:15,RT @tfoale: @JuliaHB1 Over 3400 businesses have left Catalonia to stay in the EU after its indyref. The UK is going to lose many more. It's...,42,None,1256,1795,0.3333333333333333,0.3333333333333333
Carmen,3978185415,2018-02-19 22:44:59,"RT @lizcastro: Spain's democracy and EU credibility are at stake in Catalonia, says Swedish newspaper
https://t.co/MCjyqRPkoq",356,None,166,182,0.0,0.0
Carmen,3978185415,2018-02-19 22:44:53,"RT @KarnaMikko: Only ""cowards"" and ""scoundrels"" in the case of #Catalonia sit in Madrid.  They are scared of democracy and willing to use f...",536,Catalonia,166,182,0.125,0.875
News about Catalonia,953815659909181441,2018-02-19 22:44:52,"RT @HedwigJanes: Important to know: Catalonia's Book Industry Is Small But Vibrant https://t.co/rHui03mBQn via @publisherswkly
 @Foreign_Cat",28,None,3963,6,0.10555555555555556,0.5777777777777777
