username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Masha Q #Resist,9.15493E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/usROgduwhw,0,None,176,690,-0.65,0.95
Ruthann Grattan,7.56989E+17,1/25/18 18:23,RT @36Angeldb: I agree with Roger Stone! Don't trust Mueller! He's trying to entrap  .@POTUS This Mueller investigation is a sham! #IndictM...,169,None,1738,2305,-0.25,0.3
Cares_matic,8.4983E+17,1/25/18 18:23,"RT @dbongino: Why is John Kerry ""colluding"" with the Palestinians? https://t.co/Lsf87Xgq77#ReleaseTheMemo",1800,ReleaseTheMemo,3959,3874,0,0
Alyona #resist,9.15484E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/BnYyw6WfiO,0,None,162,1222,-0.65,0.95
Litty Titty Kayla _Ÿ’‹,116222780,1/25/18 18:23,"RT @CBCAlerts: BREAKING: Doomsday Clock signalling how close Earth is to destruction has been set at two minutes to midnight, the most dire...",2532,None,276,723,0.5,0.5
Jeremy Poole,370198909,1/25/18 18:23,RT @PrisonPlanet: Divisive figures like Sadiq Khan and far-left councils trying to ban Trump from entering need to stop sabotaging the best...,239,None,32065,34737,1,0.3
Reginald Denny,430883587,1/25/18 18:23,RT @RealJamesWoods: The Democrats hate America so much... https://t.co/j6hWn3Vh3s,2575,None,457,725,-0.3,0.55
Chiara _Ÿ’•_Ÿê˜_Ÿê»,96838477,1/25/18 18:23,"RT @RepAdamSchiff: Trump goes to Davos, having insulted many of the world leaders there, to tell them to put ""America First."" Apparently th...",2805,None,218,553,0.266666667,0.394444444
Fiona Svetlana_Ÿ‡º_Ÿ‡¸_ŸŒ_,4872157347,1/25/18 18:23,"RT @GraemeDemianyk: Hoo boy ... on Sky News, @KayBurley describes Trump as being a ""slippery fish"". Ex-US ambassador John Bolton calls her...",12,None,4811,5274,0,0
Mshindae Pruitt,112312173,1/25/18 18:23,RT @RealJamesWoods: The Democrats hate America so much... https://t.co/j6hWn3Vh3s,2575,None,71,155,-0.3,0.55
IJR,474464413,1/25/18 18:23,"What Is a 'Perjury Trap' and Is Trump at Risk of Entering One With Mueller?https://t.co/bPfjSO1rT4",1,None,147615,7258,0,0
KarenSL,16058324,1/25/18 18:23,RT @RealJamesWoods: The Democrats hate America so much... https://t.co/j6hWn3Vh3s,2575,None,2552,3659,-0.3,0.55
Larry McIntosh,7.96458E+17,1/25/18 18:23,"RT @BarbraStreisand: Donald Trump and the GOP keep attacking the loyal men and women in the FBI. If no collusion or obstruction of justice,...",889,None,505,2094,0.333333333,0.833333333
mads âœ¨,9.51475E+17,1/25/18 18:23,"RT @CBCAlerts: BREAKING: Doomsday Clock signalling how close Earth is to destruction has been set at two minutes to midnight, the most dire...",2532,None,3,54,0.5,0.5
Stephanie rappaport,1568057076,1/25/18 18:23,RT @thehill: Top US corporation to use savings from Trump tax cuts to pay for layoffs https://t.co/oUXkoilBGA https://t.co/z8QJCiveK0,26,None,138,254,0.5,0.5
Jared B,3583585935,1/25/18 18:23,RT @goodoldcatchy: Trump's constant shifting of positions is a deliberate and shady conman's negotiating tactic and should be countered by...,103,None,431,204,-0.125,0.479166667
Nika Mizgi_#TheResistance,9.15499E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/NbSky43eeZ,0,None,95,673,-0.65,0.95
Holy Hand Grenade,8.9312E+17,1/25/18 18:23,"RT @realvicentefox: Dear @StormyDaniels ,When you had sex with @POTUS @realDonaldTrump (while he was cheating on @FLOTUS @MELANIATRUMP ),...",5995,None,47,111,0,0
Catherine Wesley,3087515205,1/25/18 18:23,@antonioguterres Let us remove trump,0,None,4,74,0,0
VS Gooden,235231110,1/25/18 18:23,The world leaders believe Trump to be unhinged and could cause next global war with his unqualified unprofessional... https://t.co/R9oxb58q76,0,None,1363,4968,0,0
Bill Sonnemann,8.12476E+17,1/25/18 18:23,"RT @FoxNews: .@POTUS: ""When [the Palestinians] disrespected us a week ago by not allowing our great @VP to see them, and we give them hundr...",1515,None,38,21,0.8,0.75
vicki turner,808638535,1/25/18 18:23,"RT @JackPosobiec: At the State of the Union, Trump should walk up and say, ""I had a big speech all planned but instead I've decided to read...",6871,None,513,753,0,0.1
James Doyle,493379856,1/25/18 18:23,@MisterTackle @marktmcgowan I personally don't watch the BBC or Channel 4 both of which Hate Trump. The only Newspa... https://t.co/jXdSakw2NO,0,None,522,630,-0.266666667,0.733333333
#ReleaseTheMemo,2479409101,1/25/18 18:23,"RT @We3forDemocracy: Surprise, surprise - DOJ and FBI are wailing, whining and and nashing their teeth over publicatiom of the memo.They...",11,None,73,166,0,0
SophieCT _Ÿè_ï¸èâ€ç_ŸŒˆ _Ÿç©,47630337,1/25/18 18:23,"RT @atDavidHoffman: On January 30, we want trump to KNOW we are boycotting the State of the Union speech.  It'll be more effective if all b...",6619,None,8808,4887,0.55,0.65
JackieF,7.71399E+17,1/25/18 18:23,RT @RogueSNRadvisor: The GOP in the era of Trump are tin foil hat wearing obstructionists because they have no platform &amp; no vision for the...,1486,None,302,243,0,0
gamidee,621472915,1/25/18 18:23,"RT @EdKrassen: As President Trump arrives in Davos, Switzerland, here is the sign that hangs on the mountainside....  Seems like people are...",927,None,264,394,0,0
Mario Zambeli _Ÿ‡º_Ÿ‡¸,8.91469E+17,1/25/18 18:23,"RT @StateDept: Today, @POTUS held a bilateral meeting with Israeli Prime Minister @netanyahu to discuss the strong U.S.-#Israel relationshi...",7,Israel,79,68,0.433333333,0.733333333
LFB,52700528,1/25/18 18:23,Welcome to Trump's Moronic States of America  #NeedtoImpeach #MakeAmericaDumbAgain https://t.co/aeQBCZtkGp,0,NeedtoImpeach,589,324,0.8,0.9
Greg Soriano,7.8083E+17,1/25/18 18:23,RT @brhodes: Apparently FBI personnel are only allowed to have political opinions if they support Trump.,2604,None,1063,1841,0.016666667,0.483333333
Tracy_ŸŒ__ŸŒ__ŸŒ_,144402222,1/25/18 18:23,"RT @FMoniteau: Trump has never been this thoughtful of anyone in his entire life.#ThursdayThoughts #TheResistance #MAGA #Trump #FoxNews #...",785,ThursdayThoughts,9726,9519,0.2,0.5625
(((Kiki))),433410558,1/25/18 18:23,"RT @brianklaas: This is @LynnePatton, whose professional qualifications are: Trump family wedding &amp; event planning / working for Eric Trump...",78,None,708,1786,0.1,0.1
"Zoe ""Diversity"" Washburne_Ÿ’¥_Ÿ––âù„_Ÿ”¥",2887026221,1/25/18 18:23,"RT @TheLoyalO: Congratulations constituents! You did it!@ChuckGrassley just agreed to #ReleaseTheTranscripts of Senate Judiciary's interv...",153,ReleaseTheTranscripts,15596,14699,0,0
NYT Opinion,16686144,1/25/18 18:23,RT @KBAndersen: Very clarifying summary of why it's so highly probable that @realDonaldTrump and his circle illegally conspired to illegall...,15,None,656091,1415,-0.046666667,0.446666667
JB,3302868796,1/25/18 18:23,"RT @brianklaas: This is @LynnePatton, whose professional qualifications are: Trump family wedding &amp; event planning / working for Eric Trump...",78,None,1486,2002,0.1,0.1
DIXY MORRISON,8.72865E+17,1/25/18 18:23,"@KayBurley Kay why did you purposely say today on your news program ""the President Trump club men only charity dinn... https://t.co/XgOqGrhEWw",0,None,36,57,0,1
Hey Donny!,2371893092,1/25/18 18:23,"RT @realvicentefox: Dear @StormyDaniels ,When you had sex with @POTUS @realDonaldTrump (while he was cheating on @FLOTUS @MELANIATRUMP ),...",5995,None,140,510,0,0
Ofeira Walmer,2461734596,1/25/18 18:23,"RT @dbongino: The people pushing the farcical ""collusion"" narrative are:1) Lying Dems trying to distract you from the Obamagate spying sca...",2388,None,238,211,-0.4,0.4
Wail from the Desert,1023829232,1/25/18 18:23,"RT @perfectsliders: Who Do YOU Believe Is More Intelligent? The 44th President of the United States,  Barack Obama @BarackObama or The 45th...",44,None,3574,2081,0.65,0.7
C. Jenkins,49780015,1/25/18 18:23,"RT @TeaPainUSA: Watchin' a fake GOP scandal fall apart is truly a beautiful thing, Patriots!  Trump Jr's transcripts are bein' released and...",877,None,1442,1709,0.25,1
Sithohle,514194457,1/25/18 18:23,@Bit20200 @Winnie_Byanyima @PaulKagame @Oxfam Mbu his friend Trump will tell him what happened,0,None,3709,1011,0,0
PRheydt,355440768,1/25/18 18:23,RT @RedNationRising: I did this test while watching reporters try to match Trump's perfect cognitive score. Let's just say I'll never secon...,3,None,2502,3728,1,1
Mis-Spruce,8.30432E+17,1/25/18 18:23,RT @kylegriffin1: Shark charities have been flooded with donations after it was revealed in Stormy Daniels' interview that Trump said he ho...,1249,None,16,88,0,0
Nika Kolc #Resist,9.15236E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/KuEWwpaWnN,0,None,219,873,-0.65,0.95
N W,1252290174,1/25/18 18:23,"RT @BooBooNyc: Trump is going to shake up Davos, big time.  Those liberal elites have no idea what they are in for. #Switzerland",10,Switzerland,1157,1451,0,0.1
Joe Brazda,150407693,1/25/18 18:23,RT @NTI_WMD: The U.S. and Russia maintain top-secret underground bunkers designed to protect government leaders during a nuclear attack. No...,6,None,349,737,0,0
RealLeeLewis,8.70451E+17,1/25/18 18:23,"RT @mimimayes13: The MSM will be pissing their thongs after Trump becomes ""rock star"" at #Davos ",3,Davos,1925,3068,0,0
John Lockhart,138936616,1/25/18 18:23,"RT @EdKrassen: According to @mkraju, The Special Counsel has already talked to 20 members of the Whitehouse Staff and 17 members of the Tru...",196,None,285,792,0.357142857,0.571428571
Gerald Atkinson,2173783108,1/25/18 18:23,RT @PrisonPlanet: Divisive figures like Sadiq Khan and far-left councils trying to ban Trump from entering need to stop sabotaging the best...,240,None,183,92,1,0.3
Toussaint Nkurunziza,3328832277,1/25/18 18:23,"RT @toussaintx6: https://t.co/6PoTh4tbWK God's""Notification""2startby hero of mine Kagame supernaturally revealed 2 both""Trump""&amp; Mr Moon htt...",1,None,1503,1993,0.166666667,0.566666667
Robin C  gab.ai/Mzzgotti,8.20383E+17,1/25/18 18:23,RT @Mike94002447: Growing Calls for President Trump to Read Explosive FISA Memo During State of Union Address https://t.co/p2v4jVnonL,4,None,3331,2830,0,0
Russell Rosenkild,8.1851E+17,1/25/18 18:23,RT @BeyondThePalin: @thehill @RussellRosenk1 Trump and the GOP are so dysfunctional they can't even properly parrot Russian propaganda.,1,None,514,172,-0.033333333,0.066666667
No_Lies,8.18974E+17,1/25/18 18:23,@mitchellreports @AliVelshi @SRuhle @realDonaldTrump @Davos @FLOTUS @MichaelSteele ** Trump Phonies Everything ** R... https://t.co/es44dD45I2,0,None,558,2147,0,0
HULK RESIST _Ÿ’¥,9.29455E+17,1/25/18 18:23,RT @highbackflip: @2HawkEye2018 He will be getting paid millions back each year because of the #GOPTaxScam  he championed with Trump and Mc...,5,GOPTaxScam,200,225,0,0
MAGAGirl,8.57403E+17,1/25/18 18:23,"Trump Is Swarmed as He Arrives in Davos - Says He Brings ""Peace"" (VIDEO) https://t.co/j3Nmv4C4Ge",0,None,9738,10138,0,0
Rafiq Kathwari,253244310,1/25/18 18:23,"RT @benabyad: Mob boss President Donald Trump in Davos:""That money is on the table and that money is not going to them unless the...",31,None,1901,577,0,0
_Ÿ‡º_Ÿ‡¸MAGA _Ÿ‡º_Ÿ‡¸_Ÿ‡º_Ÿ‡¸,8.27325E+17,1/25/18 18:23,"RT @USNJack: General consensus is that the ""secret society"" is the group of people who would be put under the spotlight if Trump followed t...",48,None,2042,2065,-0.175,0.6
Deborah Gill,8.22989E+17,1/25/18 18:23,"RT @heartfulmom: 11) Since 2012, the right-wing Drudge Report ""has linked to Russian propaganda websites nearly 400 times."" The numbers inc...",17,None,113,691,0,0.166666667
Annemarie Hams,2204147947,1/25/18 18:23,"RT @brianklaas: This is @LynnePatton, whose professional qualifications are: Trump family wedding &amp; event planning / working for Eric Trump...",78,None,489,956,0.1,0.1
Alexa Viosy,9.01296E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/VG3C2wipvP,0,None,143,748,-0.65,0.95
Masha #RESISTER,9.15488E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/6isWkeK7po,0,None,145,684,-0.65,0.95
Kev Rice _Ÿ‡¬_Ÿ‡§,1009671445,1/25/18 18:23,"RT @BrexiteerGB: Donald Trump - ""One thing that will be taking place over a number of years will be trade. Trade is going to increase many...",9,None,337,516,0.5,0.5
Kaylene Howell,9.01858E+17,1/25/18 18:23,RT @michael_0000: 9th Circuit Court Of Appeals Rules Against Pres. Trump's Travel Order  -  https://t.co/XphTd13com https://t.co/5ZxefZcTWx,8318,None,0,0,0,0
__Ñ”Ñè__Î±_Ÿê_,2272057687,1/25/18 18:23,"RT @QuoththeRaven2: @HarryPotterMAGE Trump's ""America First"" policy has marginalized the US in global economics and Europe is moving on wit...",11,None,1239,1392,0.125,0.166666667
Abdulkarim,568830038,1/25/18 18:23,RT @RealJamesWoods: The Democrats hate America so much... https://t.co/j6hWn3Vh3s,2576,None,52,63,-0.3,0.55
Linda M. Staples,336794478,1/25/18 18:23,"RT @TheBeatWithAri: ""The President is in serious legal jeopardy and if he makes any lies, Robert Mueller's team is going to know about it""...",1840,None,234,212,-0.066666667,0.433333333
DJ38Leon,1069803901,1/25/18 18:23,@rbalzum @JVH241 @Penn_chill @PatriciaLWilso6 @carbine10101 @NBCNews The jobs for blacks which ones are those? Any... https://t.co/LvdvClX7SU,0,None,275,247,0,0
Kurt Johnson _ŸŒê #_Ÿ™„,7.13042E+17,1/25/18 18:23,"@jasoninthehouse They are agents not ""anti trump"".  This is America.  Stop with the tarnishing of law enforcement.... https://t.co/ovoK64R5GI",0,None,126,301,0,0
Lori King,394245906,1/25/18 18:23,Again more praise from US media for Trudeau signing Top without US and how Trump wrecking positive trade deals with allies.,0,None,3619,4487,0.409090909,0.515151515
J,785827332,1/25/18 18:23,RT @ButchyMcLarty: @DonaldJTrumpJr Let's get back to the $130K in Trump campaign funds paid to busty porn star Stormy Daniels to buy her si...,1,None,488,877,0,0
Laron Kelly,8.40593E+17,1/25/18 18:23,RT @RealJamesWoods: The Democrats hate America so much... https://t.co/j6hWn3Vh3s,2576,None,8,88,-0.3,0.55
SNOWMAN_ŸŒ_,385742803,1/25/18 18:23,"RT @funder: Retweet if you agree Trump &amp; the GOP need to be investigated.We are continuing our investigation into Trump &amp; the GOP via my...",2184,None,4478,5001,0,0
Linda Fulton,563775990,1/25/18 18:23,"RT @ElderLansing: The real ""Dreamers"" aren't the illegals but you foolish Dumbocrats who think Mueller has something on POTUS Trump! Crooke...",748,None,2077,3742,0.25,0.3
Oresther Jerez  _ŸŒ_ _ŸŒ_,2768198164,1/25/18 18:23,"RT @leahmcelrath: Thread.Circumstances suggest Trump was either in the meeting with Russians or briefed immediately about what was discus...",5,None,313,2317,0,0
Bears Ears,4093089513,1/25/18 18:23,RT @nowthisnews: Government photographer Simon Edelman was fired by the Trump administration after he leaked a photo of the president's ene...,1296,None,2938,3213,0,0
Pragmatist _Ÿ‡º_Ÿ‡¸,1495747434,1/25/18 18:23,RT @FreeBeacon: Survey: 64% of Small Business Owners Believe Trump's Policies Have Helped Their Business via @DJAliMeyer https://t.co/NURev...,15,None,6572,6960,-0.25,0.4
Talib Kweli Greene,18511475,1/25/18 18:23,"@jpatterson19821 Candace followers are racist cuz she supports Trump, who is a racist. Her racist followers are her fault. Fuck you.",0,None,1149883,8122,-0.4,0.6
Jerry W. Justice,7.7657E+17,1/25/18 18:23,RT @SharylAttkisson: My take for what little it's worth: The main story isn't about what they allegedly did to try to stop Trump. It's *why...,8182,None,62,50,0.044791667,0.258333333
*DayDreamingLady*,8.82626E+17,1/25/18 18:23,"RT @Thomas1774Paine: Fearing Harvey Weinstein Backlash, Oprah Admits She Isn't Built to Challenge Trump in 2020 https://t.co/xhKIQ2Ifuh",570,None,2445,1682,0,0
Mr. O'Brien,7.97079E+17,1/25/18 18:23,"RT @jimsciutto: So: 1- GOP Senator says ""secret society"" text was a joke2- GOP-led DOJ says it is ""unaware"" of any FISA wrongdoing3- Miss...",121,None,138,77,-0.2,0.6
Teresa Kortus,8.4471E+17,1/25/18 18:23,RT @washingtonpost: Analysis: It's looking more and more like there is a coordinated GOP effort to discredit the Trump-Russia investigation...,251,None,50,74,0.5,0.5
Bob haisman,1829110663,1/25/18 18:23,The TRUMP PROBLEM...? Is not the fact that millions of misguided Americans accept him as President ...... It's the... https://t.co/8wsDghyNtG,0,None,220,228,0,0
